"ZZOfoYear_ID[ZZOfoYear]","Value","Name","ZZMigrationCode","ZZOfoLevelType","IsSummary"
2022,"2021-221206",Paediatrician,258,,N
2022,"2021-221207",Pathologist,259,,N
2022,"2021-221208",Psychiatrist,260,,N
2022,"2021-221209",Radiologist,261,,N
2022,"2021-221210",General Medicine Specialist Physician,262,,N
2022,"2021-221211",Surgeon,263,,N
2022,"2021-221212",Forensic Pathologist,264,,N
2022,"2021-221213",Radiation Oncologist,265,,N
2022,"2021-221214",Nuclear Medicine Specialist,266,,N
2022,"2021-221215",Family Physician,267,,N
2022,"2021-221216",Neurologist,268,,N
2022,"2021-221217",Clinical Pharmacologist,269,,N
2022,"2021-221218",Medical Geneticist,270,,N
2022,"2021-221219",Plastic and Reconstructive Surgeon,271,,N
2022,"2021-221220",Urologist,272,,N
2022,"2021-221221",Public Health Medicine Specialist,273,,N
2022,"2021-221222",Public Health Occupational Medicine Specialist ,274,,N
2022,"2021-221223",Paediatric Surgeon,275,,N
2022,"2021-221224",Orthopaedic Surgeon,276,,N
2022,"2021-221225",Neurosurgeon,277,,N
2022,"2021-221226",Otorhinolaryngologist,278,,N
2022,"2021-221227",Dermatologist,279,,N
2022,"2021-222101",Clinical Nurse Practitioner,280,,N
2022,"2021-222102",Aged Care Registered Nurse,281,,N
2022,"2021-222103",Registered Nurse (Child and Family Health),282,,N
2022,"2021-222104",Registered Nurse (Community Health),283,,N
2022,"2021-222105",Registered Nurse (Critical Care and Emergency),284,,N
2022,"2021-222106",Registered Nurse (Developmental Disability),285,,N
2022,"2021-222107",Registered Nurse (Disability and Rehabilitation),286,,N
2022,"2021-222108",Registered Nurse (Medical),287,,N
2022,"2021-222109",Registered Nurse (Medical Practice),288,,N
2022,"2021-222110",Registered Nurse (Mental Health),289,,N
2022,"2021-222111",Registered Nurse (Operating theatre),290,,N
2022,"2021-222112",Registered Nurse (Surgical),291,,N
2022,"2021-222113",Paediatrics Nurse,292,,N
2022,"2021-222114",Nurse Educator,293,,N
2022,"2021-222115",Nurse Researcher,294,,N
2022,"2021-222116",Nurse Manager,295,,N
2022,"2021-222117",Midwife,296,,N
2022,"2021-223101",Acupuncturist,297,,N
2022,"2021-223102",Ayurvedic Practitioner,298,,N
2022,"2021-223103",Homoeopath,299,,N
2022,"2021-223104",Naturopath,300,,N
