"AD_Org_ID[Name]","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualityAssuranceBody","ZZQualificationType","ZZReplacementQualification_ID[ZZSAQAQualificationCode]","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"14115",National Certificate in Fast Food Services,"3",138,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,56,
*,"23654",National Certificate in Generic Management,"3",120,2006-05-02 00:00:00.000,2012-06-30 00:00:00.000,2013-06-30 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,57,
*,"23656",Further Education and Training Certificate in Management,"4",140,2006-03-14 00:00:00.000,2009-03-14 00:00:00.000,2010-03-14 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,58,
*,"58274",Further Education and Training Certificate in Jewellery Setting Processes,"4",146,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,59,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1117
*,"22859",National Certificate in Autotronics,"3",140,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,60,
*,"48918",Further Education and Training Certificate in Measurement Control and Instrumentation,"6",120,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,"629",Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,61,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112
*,"50309",Further Education and Training Certificate: Environmental Practice,"4",140,2006-04-20 00:00:00.000,2009-04-20 00:00:00.000,2010-04-20 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,62,
*,"49596",National Certificate: Radiation Monitoring,"3",120,2008-06-24 00:00:00.000,2011-06-24 00:00:00.000,2012-06-24 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,63,
*,"57692",Further Education and Training Certificate: Carbonate Materials Manufacturing Processes,"4",159,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,64,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1444
*,"57876",Further Education and Training Certificate: Jewellery Manufacturing Operations,"4",150,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,65,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1272
*,"57875",Further Education and Training Certificate: Jewellery Designing,"4",146,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,66,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1117
*,"60295",Further Education and Training Certificate: Electro-Mechanics: Mining and Minerals,"4",171,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,67,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167
*,"58267",General Education and Training Certificate: Mining and Minerals Processes,"1",120,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,68,
*,"60293",National Certificate: Electro-Mechanics: Mining and Minerals,"2",166,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,69,
