"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZIsOHS","ZZMigrateValues"
*,137,Y,Q230033341525,Team Leader,0,2003-10-08 00:00:00.000,2006-10-08 00:00:00.000,0,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,138,Y,"23Q23006381382",New Venture Creation,198,2008-05-13 00:00:00.000,2011-05-13 00:00:00.000,48,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,139,Y,MQA/SP/0071/09,Skills Programme: Conduct Occupational Health and Safety Representative activities in the Mining and Minerals Sector - V2,11,2009-03-03 00:00:00.000,2010-12-10 00:00:00.000,2,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,140,Y,MQA/SP/0072/09,Skills Programme: Flotation,13,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,141,Y,"21844",National Certificate in Jewellery Manufacture in a Production Environment,159,2005-08-03 00:00:00.000,2008-08-03 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:8;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,142,Y,SP/CLA-G017,Skills Programme: Blasting Assistant in Surface Mines and Quarries,14,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,2,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1236;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,143,Y,SP/CLA-G015 (A),"Skills Programme: Competent Person A- The Examination, making safe and declaring safe of surface mines, quarries, dumps and stockpiles",27,2018-07-01 00:00:00.000,2018-10-22 00:00:00.000,2,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1236;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,144,Y,SP/CLA-G015 (B),"Skills Programme: Competent Person A: The Examination, making safe and declaring safe of surface mines, quarries, dumps and stockpiles",22,2018-07-01 00:00:00.000,2018-10-22 00:00:00.000,2,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,145,Y,SP/CLA-G018,Skills Programme: The control of explosives magazines on surface mines and qaurries,10,2009-06-01 00:00:00.000,2013-10-07 00:00:00.000,0,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,146,Y,SP/CLA-G016,"Skills Programme: Competent Person B: The installation, maintenance and removal of support units in Surface Mines and Quarries",29,2018-07-01 00:00:00.000,2020-02-14 00:00:00.000,2,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1236;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
