"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,"32Q320014336974","671202000-PM-11",Core,Y,88,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-12",Core,Y,89,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-13",Core,Y,90,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-14",Core,Y,91,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-15",Core,Y,92,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-16",Core,Y,93,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-17",Core,Y,94,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-WM-01",Core,Y,95,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-WM-02",Core,Y,96,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-WM-03",Core,Y,97,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-WM-04",Core,Y,98,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-WM-05",Core,Y,99,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-01",Core,Y,100,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-02",Core,Y,101,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-03",Core,Y,102,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-04",Core,Y,103,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-05",Core,Y,104,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-06",Core,Y,105,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-07",Core,Y,106,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-KM-08",Core,Y,107,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-01",Core,Y,108,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-02",Core,Y,109,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-03",Core,Y,110,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-04",Core,Y,111,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-05",Core,Y,112,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-06",Core,Y,113,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-07",Core,Y,114,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-08",Core,Y,115,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-09",Core,Y,116,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-10",Core,Y,117,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-11",Core,Y,118,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-12",Core,Y,119,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-13",Core,Y,120,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-14",Core,Y,121,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-15",Core,Y,122,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-16",Core,Y,123,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320007335404","653306-000-01-PM-17",Core,Y,124,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
