"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,81,Y,ZZUnitStandard:ZZUnitStandard_ID:1326;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,82,Y,ZZUnitStandard:ZZUnitStandard_ID:1518;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,83,Y,ZZUnitStandard:ZZUnitStandard_ID:1728;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,84,Y,ZZUnitStandard:ZZUnitStandard_ID:83;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,85,Y,ZZUnitStandard:ZZUnitStandard_ID:84;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,86,Y,ZZUnitStandard:ZZUnitStandard_ID:85;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,87,Y,ZZUnitStandard:ZZUnitStandard_ID:87;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,88,Y,ZZUnitStandard:ZZUnitStandard_ID:88;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,89,Y,ZZUnitStandard:ZZUnitStandard_ID:89;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,90,Y,ZZUnitStandard:ZZUnitStandard_ID:90;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,91,Y,ZZUnitStandard:ZZUnitStandard_ID:91;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,92,Y,ZZUnitStandard:ZZUnitStandard_ID:349;ZZLearnership:ZZLearnership_ID:6;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
