"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,235,Y,MANDATORY GRANTS,MAN,20.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:1;C_Year:C_Year_ID:20
*,236,Y,LEARNERSHIPS,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:2;C_Year:C_Year_ID:20
*,237,Y,ABET,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:4;C_Year:C_Year_ID:20
*,238,Y,GDP NSF,NSF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:5;C_Year:C_Year_ID:20
*,239,Y,GDP 1,GDP1,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:6;C_Year:C_Year_ID:20
*,240,Y,PRACTICAL TRAINING,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:7;C_Year:C_Year_ID:20
*,241,Y,MODERATOR ,MOD,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:8;C_Year:C_Year_ID:20
*,242,Y,ASSESSOR ,ASS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:9;C_Year:C_Year_ID:20
*,243,Y,Artisan Grant,APP,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:10;C_Year:C_Year_ID:20
*,244,Y,PRACTICAL TRAINING 02,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:11;C_Year:C_Year_ID:20
*,245,Y,GDP 2,GDP 2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:13;C_Year:C_Year_ID:20
*,246,Y,LEARNERSHIPS NSF 2,NSL2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:15;C_Year:C_Year_ID:20
*,247,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:20
*,248,Y,DISABLITY,DLRN,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:17;C_Year:C_Year_ID:20
