"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K",_LOG_
*,OUT85,Develop and fabricate by means of parallel line methods,,17,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3321,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT89,Join metal by means of arc welding,,16,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3322,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT138,Construct pneumatic circuits,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3323,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,MCI-IMT,Describe thermometers,,1,2016-01-01 00:00:00.000,2018-03-31 00:00:00.000,2018-03-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3324,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,MG - P,Fabricate machine guards,,2,2015-01-01 00:00:00.000,2018-03-31 00:00:00.000,2019-03-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3325,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,IGDI,Inspect and use gas testing equipment,,4,2015-01-01 00:00:00.000,2018-03-31 00:00:00.000,2019-03-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3326,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,MB - P,Fabricate mchine base plates ,,2,2015-01-01 00:00:00.000,2018-03-31 00:00:00.000,2019-03-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3327,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,DRG-E,Read Engineering Drawings,,2,2015-01-01 00:00:00.000,2018-03-31 00:00:00.000,2019-03-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3328,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,MAC-3,Maintain air actuating cylinders and service units (Yearly),,1,2016-01-01 00:00:00.000,2018-03-31 00:00:00.000,2019-03-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3329,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT444.3,Millwright Metalliferous,,250,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,2018-06-30 00:00:00.000,1900-01-01 00:00:00.000,Y,3330,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
