"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues",_LOG_
*,53,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:984,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000052] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000052] / "
*,54,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:2141,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000053] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000053] / "
*,55,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:1996,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000054] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000054] / "
*,56,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:761,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000055] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000055] / "
*,57,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:1418,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000056] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000056] / "
*,58,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:120,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000057] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000057] / "
*,59,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:121,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000058] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000058] / "
*,60,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:130,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000059] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000059] / "
*,61,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:131,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000060] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000060] / "
*,62,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:432,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000061] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000061] / "
