"AD_Reference_ID[Name]/K","value","name","Description/K","EntityType","IsActive"
ZZLkpQualityAssuranceBody,"692",HPCSA,16,MQA Learner,Y
ZZLkpQualityAssuranceBody,"694",AgriSETA,1,MQA Learner,Y
ZZLkpQualityAssuranceBody,"695",SASSETA,64,MQA Learner,Y
ZZLkpQualityAssuranceBody,"754",FPMSETA,12,MQA Learner,Y
ZZLkpQualityAssuranceBody,"755",CATHSSETA,3,MQA Learner,Y
ZZLkpQualityAssuranceBody,"756",MICT,19,MQA Learner,Y
ZZLkpQualityAssuranceBody,DHET,DHET,48,MQA Learner,Y
ZZLkpQualityAssuranceBody,DHET SETA-support,DHET SETA-support,49,MQA Learner,Y
ZZLkpQualityAssuranceBody,DIDTETA,DIDTETA,50,MQA Learner,Y
ZZLkpQualityAssuranceBody,EWSETA,EWSETA,53,MQA Learner,Y
ZZLkpQualityAssuranceBody,FETMIS,FETMIS,9,MQA Learner,Y
ZZLkpQualityAssuranceBody,IEB,IEB,14,MQA Learner,Y
ZZLkpQualityAssuranceBody,Indlela NAMB,Indlela NAMB,54,MQA Learner,Y
ZZLkpQualityAssuranceBody,QCTO,QCTO,60,MQA Learner,Y
ZZLkpSETA,"581 - 20",ETDP SETA - 20,20,MQA Learner,N
ZZLkpSETA,"541",UMALUSI,37,MQA Learner,Y
ZZLkpSETA,"557",BANKSETA,2,MQA Learner,Y
ZZLkpSETA,"559",CHIETA,18,MQA Learner,Y
ZZLkpSETA,"561",CTFL,19,MQA Learner,Y
ZZLkpSETA,"577",CETA,4,MQA Learner,Y
ZZLkpSETA,"581",ETDPSETA,5,MQA Learner,Y
ZZLkpSETA,"583",ESETA,28,MQA Learner,Y
ZZLkpSETA,"585",FASSET,6,MQA Learner,Y
ZZLkpSETA,"587",FOODBEV,22,MQA Learner,Y
ZZLkpSETA,"589",FIETA,21,MQA Learner,Y
ZZLkpSETA,"591",HWSETA,8,MQA Learner,Y
ZZLkpSETA,"593",ISETT,23,MQA Learner,Y
ZZLkpSETA,"595",INSETA,9,MQA Learner,Y
ZZLkpSETA,"597",LGSETA,24,MQA Learner,Y
ZZLkpSETA,"599",MERSETA,10,MQA Learner,Y
ZZLkpSETA,"601",MAPPP-SETA,25,MQA Learner,Y
ZZLkpSETA,"607",PSETA,13,MQA Learner,Y
ZZLkpSETA,"611",SERVICES SETA,15,MQA Learner,Y
ZZLkpSETA,"613",THETA,27,MQA Learner,Y
ZZLkpSETA,"615",TETA,16,MQA Learner,Y
ZZLkpSETA,"617",W&RSETA,17,MQA Learner,Y
ZZLkpSETA,"621",CHE,29,MQA Learner,Y
ZZLkpSETA,"629",MQA,12,MQA Learner,Y
ZZLkpSETA,"631",SAPC,36,MQA Learner,Y
ZZLkpSETA,"637",PAB,32,MQA Learner,Y
ZZLkpSETA,"639",SABPP,33,MQA Learner,Y
ZZLkpSETA,"651",SAICA,34,MQA Learner,Y
ZZLkpSETA,"657",SANC,35,MQA Learner,Y
ZZLkpSETA,"692",HPCSA,31,MQA Learner,Y
ZZLkpSETA,"694",AGRISETA,1,MQA Learner,Y
ZZLkpSETA,"695",SASSETA,14,MQA Learner,Y
ZZLkpSETA,"754",FPMSETA,7,MQA Learner,Y
ZZLkpSETA,"755",CATHSETA,3,MQA Learner,Y
ZZLkpSETA,"756",MICT,11,MQA Learner,Y
ZZLkpSETA,DHET,DHET,40,MQA Learner,Y
ZZLkpSETA,DHET SETA-support,DHET SETA-support,38,MQA Learner,Y
ZZLkpSETA,DIDTETA,DIDTETA,42,MQA Learner,Y
ZZLkpSETA,EWSETA,EWSETA,30,MQA Learner,Y
ZZLkpSETA,Indlela NAMB,Indlela NAMB,41,MQA Learner,Y
ZZLkpSETA,QCTO,QCTO,39,MQA Learner,Y
ZZLkpSkillsProgrammeType,Leads to a Qualification,Leads to a Qualification,2,MQA Learner,Y
ZZLkpSkillsProgrammeType,Mine Community,Mine Community,3,MQA Learner,Y
ZZLkpSkillsProgrammeType,Small Scale Projects,Small Scale Projects,4,MQA Learner,Y
ZZLkpSkillsProgrammeType,Standalone,Standalone,1,MQA Learner,Y
ZZLkpSkillsProgrammeType,Unemployed Youth Development,Unemployed Youth Development,5,MQA Learner,Y
ZZLkpSocioEconomicStatus,"01",Employed,1,MQA Learner,Y
ZZLkpSocioEconomicStatus,"02",Unemployed,2,MQA Learner,Y
ZZLkpSponsorship,"1",SETA Funded,1,MQA Learner,Y
ZZLkpSponsorship,"2",Industry Funded,2,MQA Learner,Y
