"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,108,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:996
*,109,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:1116
*,110,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:30
*,111,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:31
*,112,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:32
*,113,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:33
*,114,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:453
*,115,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:452
*,116,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:450
*,117,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:449
*,118,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:448
*,119,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:983
*,120,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:980
*,121,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:930
*,122,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:1075
*,123,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:981
*,124,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:695
*,125,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:919
*,126,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:761
*,127,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:770
*,128,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:996
*,129,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:1116
*,130,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:983
*,131,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:215
*,132,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:980
*,133,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:930
*,134,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:1075
*,135,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:981
*,136,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:695
*,137,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:919
*,138,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:439
*,139,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:216
*,140,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:217
*,141,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:761
*,142,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:770
*,143,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:996
*,144,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:1116
*,145,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:236
*,146,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:426
*,147,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:930
*,148,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:1138
*,149,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:981
*,150,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:212
*,151,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:213
