"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K"
*,"16Q94100","651202000-PM-02",Core,Y,267
*,"16Q94100","651202000-PM-03",Core,Y,268
*,"16Q94100","651202000-PM-04",Core,Y,269
*,"16Q94100","651202000-PM-05",Core,Y,270
*,"16Q94100","651202-PM-06",Core,Y,281
*,"16Q94100","651202000-PM-07",Core,Y,271
*,"16Q94100","651202000-PM-08",Core,Y,272
*,"16Q94100","651202000-PM-09",Core,Y,273
*,"16Q94100","651202000-PM-10",Core,Y,274
*,"16Q94100","651202000-PM-11",Core,Y,275
*,"16Q94100","651202000-WM-01",Core,Y,276
*,"16Q94100","651202000-WM-02",Core,Y,277
*,"16Q94100","651202000-WM-03",Core,Y,278
*,"16Q94100","651202000-WM-04",Core,Y,279
*,"16Q94100","651202000-WM-05",Core,Y,280
*,"16Q94100","651202-WM-06",Core,Y,282
*,"16Q97582","653307000-KM-01",Core,Y,283
*,"16Q97582","653307000-KM-02",Core,Y,284
*,"16Q97582","653307000-KM-03",Core,Y,285
*,"16Q97582","653307000-KM-04",Core,Y,286
*,"16Q97582","653307000-KM-05",Core,Y,287
*,"16Q97582","653307000-KM-06",Core,Y,288
*,"16Q97582","653307000-KM-07",Core,Y,289
*,"16Q97582","653307000-KM-08",Core,Y,290
*,"16Q97582","653307000-PM-01",Core,Y,291
*,"16Q97582","653307000-PM-02",Core,Y,292
*,"16Q97582","653307000-PM-03",Core,Y,293
*,"16Q97582","653307000-PM-04",Core,Y,294
*,"16Q97582","653307000-PM-05",Core,Y,295
*,"16Q97582","653307000-PM-06",Core,Y,296
*,"16Q97582","653307000-PM-07",Core,Y,297
*,"16Q97582","653307000-PM-08",Core,Y,298
*,"16Q97582","653307000-PM-09",Core,Y,299
*,"16Q97582","653307000-PM-10",Core,Y,300
*,"16Q97582","653307000-PM-11",Core,Y,301
*,"16Q97582","653307000-WM-01",Core,Y,302
*,"16Q97582","653307000-WM-03",Core,Y,303
*,"16Q97582","653307000-WM-04",Core,Y,304
*,"16Q97582","653307000-WM-05",Core,Y,305
*,"16Q97582","653307000-WM-06",Core,Y,306
*,"16Q97582","653307000-WM-07",Core,Y,307
*,"16Q97582","653307000-WM-08",Core,Y,308
*,"16Q97582","653307000-WM-09",Core,Y,309
*,"16Q97582","653307000-WM-10",Core,Y,310
*,"16Q97582","653307000-WM-11",Core,Y,311
*,"16Q97582","653307000-WM-12",Core,Y,312
*,"16Q97582","653307000-WM-02",Core,Y,313
*,"32Q320005425594","651501-000-00-00-KM-01",Core,Y,337
*,"32Q320005425594","651501-000-00-00-KM-02",Core,Y,338
*,"32Q320005425594","651501-000-00-00-KM-03",Core,Y,339
*,"32Q320005425594","651501-000-00-00-KM-04",Core,Y,340
*,"32Q320005425594","651501-000-00-00-KM-05",Core,Y,341
*,"32Q320005425594","651501-000-00-00-KM-06",Core,Y,342
*,"32Q320005425594","651501-000-00-00-KM-07",Core,Y,343
*,"32Q320005425594","651501-000-00-00-KM-08",Core,Y,344
*,"32Q320005425594","651501-000-00-00-KM-09",Core,Y,345
*,"32Q320005425594","651501-000-00-00-KM-10",Core,Y,346
*,"32Q320005425594","651501-000-00-00-KM-11",Core,Y,347
*,"32Q320005425594","651501-000-00-00-KM-12",Core,Y,348
*,"32Q320005425594","651501-000-00-00-KM-13",Core,Y,349
*,"32Q320005425594","651501-000-00-00-KM-14",Core,Y,350
*,"32Q320005425594","651501-000-00-00-KM-15",Core,Y,351
