"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZMigrateValues"
*,190,Y,National Certificate: Diesel Mechanic: Metalliferous,"16Q160013001493 (V2)",171,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,191,Y,National Certificate: Diesel Mechanic: Open Cast,"16Q160052001463 (V2)",184,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,192,Y,National Certificate: Diesel Mechanic: Surface Diamonds,"16Q160014001373 (V2)",186,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,193,Y,National Certificate: Diesel Mechanic: Underground Diamonds,"16Q160011001303 (V2)",182,2003-01-01 00:00:00.000,2003-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,194,Y,National Certificate: Electrical: Metalliferous,"16Q160041003404 (V2)",204,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
*,195,Y,National Certificate: Electrical: Opencast,"16Q160040003294 (V2)",215,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
*,196,Y,National Certificate: Electrical: Surface Coal,"16Q160039003444 (V2)",209,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
*,197,Y,National Certificate: Electrical: Surface Diamonds,"16Q160042003014 (V2)",223,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
*,198,Y,National Certificate: Electrical: Underground Coal,"16Q160038003494 (V2)",215,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
*,199,Y,National Certificate: Electrical: Underground Diamonds,"16Q160037003134 (V2)",217,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
