"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNqfLevel","ZZLearningType","ZZModuleType","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"672105000-WM-04",Diagnostic processes for fault finding for instrumentation equipment and control systems,"53",30,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Work experience,Core,Y,214,
*,"652302000-PS-04",Replace components and assemble mechanical subassemblies and machines,"599",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,215,
*,"672105000-WM-05",Maintenance processes for instrumentation equipment reliability,"53",30,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Work experience,Core,Y,216,
*,"652302000-PS-05",Do fault finding on mechanical sub-assemblies and machines,"599",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,217,
*,"652302000-PS-06",Repair mechanical sub-assemblies and machines,"599",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,218,
*,"652302000-PS-07",Install and commission mechanical sub-assemblies and machines,"599",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,219,
*,"652302000-PS-08",Overhaul mechanical sub-assemblies and machines,"599",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,220,
*,"652302000-PS-09",Produce simple components by setting up and attending to the operation an engineering machine,"599",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Application,Core,Y,221,
*,"652302000-PS-10",Produce components of intermediate complexity by performing engineering machining operations,"599",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,222,
*,"652302000-PS-11","Perform complex machining operations,","599",24,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,223,
*,"652302000-WM-01",Fabrication processes in an engineering workshop,"599",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Work experience,Core,Y,224,
*,"652302000-WM-02",Routine mechanical component and machine maintenance processes,"599",40,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Work experience,Core,Y,225,
*,"652302000-WM-03",Maintenance planning and communication processes,"599",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Work experience,Core,Y,226,
*,"652302000-WM-04",Repair mechanical faults on mechanical sub-assemblies and machines,"599",60,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,227,
*,"652302000-WM-05",Overhauling processes in an engineering workshop,"599",60,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,228,
*,MQA/R/003233,Basic engineering theory,"599",32,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Knowledge,Core,Y,229,
