"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"64950",Further Education and Training Certificate: Laboratory Analysis,"4",140,2009-05-05 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"73312",,0,,N,Y,265,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:102
*,"20159",NQF 5 NATIONAL DIPLOMA IN ABET PRACITICES,,240,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Leads to a Qualification,"20159",,0,,N,Y,266,
*,"48473",National Certificate in Electrical Engineering (Electrical Construction),,156,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Leads to a Qualification,"48473",,0,,N,Y,267,
*,"03",NATIONAL CERTIFICATE GENERAL SECURITY PRACTICES,"3",0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Leads to a Qualification,"03",,0,,N,Y,268,
*,"74292","National Certificate: Occupational Health, Safety and Environment: Mining and Minerals","2",120,2008-11-26 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"74292",,20,,N,Y,269,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:316
*,MQA/SP/0111/09,Skills Programme: Primary Sample Preparation in an Analytical Laboratory ,,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,270,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:102
*,MQA/SP/0012/09,Skills Programme: Separation of Precious Metals by means of the Fire Assay Technique,,22,2009-10-19 00:00:00.000,2013-06-19 00:00:00.000,,Standalone,,,0,,N,Y,271,
*,MQA/SP/0113/09,Skills Programme: Secondary Sample Preparation in an Analytical Laboratory,,15,2009-10-19 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,0,,N,Y,272,
*,MQA/SP/0114/09,Skills Programme: Small Scale Mining: Quarrying,,50,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,12,,N,Y,273,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:211
*,MQA/SP/0115/09,"Skills Programme: Small Scale Mining: Safety, Health and Environment",,42,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,7,,N,Y,274,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:211
*,MQA/SP/0116/09,Skills Programme: Small Scale Mining: Surface Mining,,47,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,15,,N,Y,275,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:211
*,MQA/SP/0117/09,Skills Programme: Small Scale Mining: Underground Coal,,50,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,10,,N,Y,276,
*,MQA/SP/0118/09,Skills Programme: Small Scale Mining: Underground Hardrock,,45,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,277,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:211
*,MQA/SP/0119/09,Skills Programme: Operating Mobile Equipment for Surface Excavation Operations,,18,2009-11-25 00:00:00.000,2025-06-30 23:59:59.000,,Standalone,,,6,,N,Y,278,
*,MQA/SP/0120/10,Skills Programme: Occupational Health and Safety activities for: Part Time/Workplace Representatives and Shop Stewards in the Mining and Minerals,,9,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,279,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:316
*,MQA/SP/0088/09 A,Skills Programme: Crushing (Version 2),,17,2015-07-01 00:00:00.000,2018-01-18 00:00:00.000,,Standalone,,,0,,N,Y,280,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,MQA/SP/0088/09 B,Skills Programme: Crushing (Version 2),,12,2015-07-01 00:00:00.000,2018-01-18 00:00:00.000,,Standalone,,,0,,N,Y,281,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,MQA/SP/0123/10,Skills Programme: Intermediate Generic Management (Version 2),,42,2015-07-01 00:00:00.000,2016-07-19 15:45:40.643,,Standalone,,,0,,N,Y,282,
*,MQA/SP/0121/10,Skills Programme: Advanced Generic Management (Version 2),,57,2015-07-01 00:00:00.000,2016-07-19 16:05:56.450,,Standalone,,,0,,N,Y,283,
*,MQA/SP/0122/10,Skills Programme: Basic Generic Supervision (Version 2),,36,2015-07-01 00:00:00.000,2016-07-19 16:12:44.213,,Standalone,,,0,,N,Y,284,
*,MQA/SP/0124/10,Skills Programme: The handling of explosives in mines,,7,2018-07-01 00:00:00.000,2025-06-30 23:59:59.000,,Standalone,,,3,,N,Y,285,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1236
*,MQA/SP/0125/10,Skills Programme: Generic Engineering,,60,2010-03-31 00:00:00.000,2011-03-31 00:00:00.000,,Standalone,,,0,,N,Y,286,
