"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,84,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:825;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,85,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:826;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,86,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:827;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,87,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:983;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,88,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:436;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,89,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:980;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,90,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,91,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:1075;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,92,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,93,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:695;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,94,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:919;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,95,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:761;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,96,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:770;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,97,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:996;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,98,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:1116;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,99,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:983;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,100,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:980;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,101,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,102,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:1075;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,103,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,104,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:695;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,105,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:919;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,106,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:761;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,107,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:770;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,108,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:996;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,109,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:1116;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,110,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:30;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,111,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:31;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,112,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:32;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,113,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:33;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,114,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:453;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,115,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:452;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,116,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:450;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,117,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:449;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,118,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:448;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
