ID,SkillsProgrammeCode,SkillsProgrammeTitle,NQFLevelID,Credits,RegistrationStartDate,RegistrationEndDate,QualityAssuranceBodyID,SkillsProgrammeTypeID,QualificationID,AETLevelID,OFOOccupationID,MinimumElectiveCredits,SkillsProgrammeGrantTypeID,MigrationRecordID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime,IsOHS
38,MQA/SP/0047/06,Skills Programme: Intermediate Generic Management,0,49,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,0,1,0,0,0,9,0,39,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
39,MQA/SP/0048/06,Skills Programme: Advanced Generic Management,0,63,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,0,1,0,0,0,9,0,40,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
40,MQA/SP/0050/06,Skills Programme: Adsorption of Gold onto Activated Carbon (CIP/CIL/CIS Processes (Version 1),0,16,2006-11-03 00:00:00.000,2009-11-03 00:00:00.000,0,1,0,0,0,2,0,41,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
41,MQA/SP/0051/06,Skills Programme: Handling of Chemicals (Version 1),0,7,2006-11-06 00:00:00.000,2009-11-06 00:00:00.000,0,1,0,0,0,4,0,42,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
42,MQA/SP/0052/06,Skills Programme: Milling of Material,0,19,2006-11-06 00:00:00.000,2015-06-30 00:00:00.000,0,1,0,0,0,8,0,43,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
43,MQA/SP/0053/06,Skills Programme: Slimes Reclamation (Version 1),0,15,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,0,1,0,0,1258,2,0,44,2022-12-12 13:31:20.827,1,2023-07-07 21:23:35.993,3553,0,2023-07-07 19:23:35.9954318,9999-12-31 23:59:59.9999999,0
44,MQA/SP/0054/06,Skills Programme: Solvent Extraction (Version 1),0,21,2006-11-06 00:00:00.000,2009-07-08 00:00:00.000,0,1,0,0,0,2,0,45,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
45,MQA/SP/0055/06,Skills Programme: Packing Plant Unitising Operations,0,35,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,0,1,0,0,0,9,0,46,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
46,MQA/SP/0056/06,Skills Programme: Tanker-Based Bulk Materials Loading,0,64,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,0,1,0,0,0,23,0,47,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
47,MQA/SP/0042/07,Skills Programme: Blasting Assistant in Surface Mining V3,0,19,2007-06-11 00:00:00.000,2025-06-30 23:59:59.000,0,1,0,0,0,2,0,48,2022-12-12 13:31:20.827,1,2024-07-01 16:15:25.433,3553,0,2024-07-01 14:15:25.4339674,9999-12-31 23:59:59.9999999,0
48,MQA/SP/0043/05,Skills Programme: Blasting Assistant Operations in Underground Coal Mines V3,0,31,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,1256,0,0,49,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
49,MQA/SP/0057/07,Skills Programme: Generic Engineering,0,62,2007-06-13 00:00:00.000,2010-09-13 00:00:00.000,0,1,0,0,0,0,0,50,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
50,MQA/SP/0058/07,Skills Programme: Monitor and Operate Plant and Equipment,0,41,2007-07-30 00:00:00.000,2010-07-30 00:00:00.000,0,1,0,0,0,15,0,51,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
51,MQA/SP/0059/07,Skills Programme: Basic Generic Supervision,0,28,2007-07-30 00:00:00.000,2010-02-28 00:00:00.000,0,1,0,0,0,0,0,52,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
52,MQA/SP/0060/07,"Skills Programme: Occupational Health and Safety, Environment and Quality (Basic)",0,20,2007-07-30 00:00:00.000,2015-06-30 00:00:00.000,0,1,0,0,0,6,0,53,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
53,MQA/SP/0064/07,Skills Programme: Blasting Assistant within Underground Hard Rock V4,0,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,1256,3,0,54,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
54,MQA/SP/0063/07,Skills Programme: Competent person A: The examination and Declaring safe of a Workplace in Underground Hard Rock Operations (V4),0,28,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,1256,3,0,55,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
55,MQA/SP/0061/07,Skills Programme: Competent person B: The Installation and Maintenance of any Support Unit and the removal of a Temporary Support Unit in Underground Hard Rock Operations (V4),0,16,2015-07-01 00:00:00.000,2024-07-30 23:59:59.000,0,1,0,0,1256,0,0,56,2022-12-12 13:31:20.827,1,2024-07-31 15:08:54.133,3551,0,2024-07-31 13:08:54.1301997,9999-12-31 23:59:59.9999999,0
56,MQA/SP/0062/07,Skills Programme: Secondary Blasting Operations for Underground Hard Rock (V3),0,36,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,1256,2,0,57,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
57,MQA/SP/0026/05,"Skills Programme: The Examination Making Safe and Declaring Safe of Unblasted Quarries and Stockpiles ",0,24,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,1,0,0,0,1,0,58,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
58,MQA/SP/0010/07,"Skills Programme: Competent Person B: To Install, maintain and removal of support in (Underground Hard Rock Operations) (Massive) V3",0,21,2007-11-29 00:00:00.000,2010-11-29 00:00:00.000,0,1,0,0,0,10,0,59,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
59,MQA/SP/0009/07,"Skills Programme: Competent Person B: To install, maintain and remove support unit (Underground Hard Rock Narrow Tabular) V3",0,11,2007-11-29 00:00:00.000,2024-07-30 23:59:59.000,0,1,0,0,0,0,0,60,2022-12-12 13:31:20.827,1,2024-07-31 15:08:54.133,3551,0,2024-07-31 13:08:54.1301997,9999-12-31 23:59:59.9999999,0
60,MQA/SP/0108/07,Skills Programme: Thickening of a Slurry (V2),0,11,2007-11-30 00:00:00.000,2010-11-30 00:00:00.000,0,1,0,0,0,2,0,61,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
61,MQA/SP/0065/08,Skills Programme: Rock Drill Operator  for  Underground Hardrock Mines,0,23,2008-02-01 00:00:00.000,2024-07-30 23:59:59.000,0,1,0,0,0,1,0,62,2022-12-12 13:31:20.827,1,2024-07-31 15:08:54.133,3551,0,2024-07-31 13:08:54.1301997,9999-12-31 23:59:59.9999999,0
62,MQA/SP/0068/08,Skills Programme: Trackless Mobile Machine Operations-Underground Hardrock,0,26,2015-07-01 00:00:00.000,2018-01-18 00:00:00.000,0,1,0,0,1256,7,0,63,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,1
63,MQA/SP/0067/08,"Skills Programme: Crushing and Screening ",0,59,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,0,1,0,0,552,10,0,64,2022-12-12 13:31:20.827,1,2023-07-07 21:23:35.993,3553,0,2023-07-07 19:23:35.9954318,9999-12-31 23:59:59.9999999,0
64,MQA/SP/0066/08,Skills Programme: Operate Mining Machinery in an Underground Coal Mine,0,28,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,0,1,0,0,1256,3,0,65,2022-12-12 13:31:20.827,1,2023-07-07 21:23:35.993,3553,0,2023-07-07 19:23:35.9954318,9999-12-31 23:59:59.9999999,0
65,MQA/SP/0070/08,Skills Programme: Milling Operations (Dry Process),0,35,2007-01-01 00:00:00.000,2010-10-01 00:00:00.000,0,1,0,0,0,2,0,66,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
66,MQA/SP/0069/08,Skills Programme: Rock Drill Operator in Underground Hardrock Mines,0,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,1256,1,0,67,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
67,21845,Further Education and Training Certificate in  Diamond Processing: Polisher - Crossworker,4,351,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,11,0,0,351,0,69,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
68,21843,National Certificate in Diamond Processing: Polisher - Brillianteer,3,323,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,14,0,0,323,0,70,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
