AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,MQA/SP/0026/05,Skills Programme: The Examination Making Safe and Declaring Safe of Unblasted Quarries and Stockpiles ,,24,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,1,,,,1,Y
*,MQA/SP/0010/07,"Skills Programme: Competent Person B: To Install, maintain and removal of support in (Underground Hard Rock Operations) (Massive) V3",,21,2007-11-29 00:00:00.000,2010-11-29 00:00:00.000,,1,,,,10,Y
*,MQA/SP/0009/07,"Skills Programme: Competent Person B: To install, maintain and remove support unit (Underground Hard Rock Narrow Tabular) V3",,11,2007-11-29 00:00:00.000,2024-07-30 23:59:59.000,,1,,,,0,Y
*,MQA/SP/0108/07,Skills Programme: Thickening of a Slurry (V2),,11,2007-11-30 00:00:00.000,2010-11-30 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0065/08,Skills Programme: Rock Drill Operator  for  Underground Hardrock Mines,,23,2008-02-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,,1,Y
*,MQA/SP/0068/08,Skills Programme: Trackless Mobile Machine Operations-Underground Hardrock,,26,2015-07-01 00:00:00.000,2018-01-18 00:00:00.000,,1,,,2021-711101,7,Y
*,MQA/SP/0067/08,Skills Programme: Crushing and Screening ,,59,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,1,,,2021-312102,10,Y
*,MQA/SP/0066/08,Skills Programme: Operate Mining Machinery in an Underground Coal Mine,,28,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,1,,,2021-711101,3,Y
*,MQA/SP/0070/08,Skills Programme: Milling Operations (Dry Process),,35,2007-01-01 00:00:00.000,2010-10-01 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0069/08,Skills Programme: Rock Drill Operator in Underground Hardrock Mines,,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,1,Y
*,21845,Further Education and Training Certificate in  Diamond Processing: Polisher - Crossworker,4,351,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,21845,,,351,Y
*,21843,National Certificate in Diamond Processing: Polisher - Brillianteer,3,323,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,21843,,,323,Y
*,50063,Further Education and Training Certificate in  Occupational Safety (Version1),4,145,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,50063,,,145,Y
*,58248,National Certificate in Laboratory Practice,2,120,2007-06-27 00:00:00.000,2015-06-30 00:00:00.000,,2,58248,,2021-134902,120,Y
*,21811,National Certificate: Introduction to Mining and Minerals V2,1,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,,2,21811,,,14,Y
*,35926,National Certificate in Payroll Administration Services,5,240,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,35926,,,240,Y
*,35926,National Certificate in Payroll Administration Services,5,240,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,35926,,,120,Y
