ID,SubMajorGroupID,Code,Description,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
70,6,2021-2267,Optometrists and Ophthalmic Opticians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
71,6,2021-2269,Health Professionals not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
72,7,2021-2311,University and Higher Education Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
73,7,2021-2321,Vocational or Further Education Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
74,7,2021-2331,Secondary or Intermediate and Senior Education Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
75,7,2021-2341,Primary School or Foundational Phase Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
76,7,2021-2342,Early Childhood Educators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
77,7,2021-2351,Education Methods Specialists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
78,7,2021-2352,Special Needs Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
79,7,2021-2353,Other Language Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
80,7,2021-2354,Other Music Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
81,7,2021-2355,Other Arts Teachers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
82,7,2021-2356,Information Technology Trainers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
83,7,2021-2359,Teaching Professionals not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
84,8,2021-2411,Accountants,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
85,8,2021-2412,Financial and Investment Advisors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
86,8,2021-2413,Financial Analysts,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
87,8,2021-2421,Management and Organization Analysts,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
88,8,2021-2422,Policy Administration Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
89,8,2021-2423,Personnel and Careers Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
90,8,2021-2424,Training and Staff Development Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
91,8,2021-2431,Advertising and Marketing Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
92,8,2021-2432,Public Relations Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
93,8,2021-2433,Technical and Medical Sales Professionals (Excluding ICT),2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
94,8,2021-2434,Information and Communications Technology Sales Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
95,9,2021-2511,Systems Analysts,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
96,9,2021-2512,Software Developers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
97,9,2021-2513,Web and Multimedia Developers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
98,9,2021-2514,Applications Programmers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
99,9,2021-2519,Software and Applications Developers and Analysts not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
100,9,2021-2521,Database Designers and Administrators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
101,9,2021-2522,Systems Administrators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
102,9,2021-2523,Computer Network Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
103,9,2021-2529,Database and Network Professionals not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
104,10,2021-2611,Lawyers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
105,10,2021-2612,Judges,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
106,10,2021-2619,Legal Professionals not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
107,10,2021-2621,Archivists and Curators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
108,10,2021-2622,Librarians and Related Information Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
109,10,2021-2631,Economists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
110,10,2021-2632,"Sociologists, Anthropologists and Related Professionals",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
111,10,2021-2633,"Philosophers, Historians and Political Scientists",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
112,10,2021-2634,Psychologists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
113,10,2021-2635,Social Work and Counselling Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
114,10,2021-2636,Religious Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
115,10,2021-2641,Authors and Related Writers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
116,10,2021-2642,Journalists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
117,10,2021-2643,"Translators, Interpreters and Other Linguists",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
118,10,2021-2651,Visual Artists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
119,10,2021-2652,"Musicians, Singers and Composers",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
120,10,2021-2653,Dancers and Choreographers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
121,10,2021-2654,"Film, Stage and Related Directors and Producers",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
122,10,2021-2655,Actors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
123,10,2021-2656,"Announcers On Radio, Television and Other Media",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
124,10,2021-2659,Creative and Performing Artists Not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
125,11,2021-3111,Chemical and Physical Science Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
126,11,2021-3112,Civil Engineering Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
127,11,2021-3113,Electrical Engineering Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
128,11,2021-3114,Electronics Engineering Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
129,11,2021-3115,Mechanical Engineering Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
130,11,2021-3116,Chemical Engineering Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
131,11,2021-3117,Mining and Metallurgical Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
132,11,2021-3118,Draughtspersons,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
133,11,2021-3119,Physical and Engineering Science Technicians not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
134,11,2021-3121,Mining Production / Operations Supervisors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
135,11,2021-3122,Manufacturing Supervisors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
136,11,2021-3123,Construction Supervisors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
137,11,2021-3131,Power Production Plant Operators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
138,11,2021-3132,Incinerator and Water Treatment Plant Operators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
139,11,2021-3133,Chemical Processing Plant Controllers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
140,11,2021-3134,Petroleum and Natural Gas Refining Plant Operators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
141,11,2021-3135,Metal Production Process Controllers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
142,11,2021-3139,Process Control Technicians not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
143,11,2021-3141,Life Science Technicians (Excluding Medical),2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
144,11,2021-3142,Agricultural Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
145,11,2021-3143,Forestry Technicians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
146,11,2021-3151,Ships' Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
147,11,2021-3152,Ships' Deck Officers and Pilots,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
148,11,2021-3153,Aircraft Pilots and Related Associate Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
