ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
127,Acvv Die Speelkasteel,100000223,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
128,Acvv Die Vinknes,118108354,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
129,Acvv Kindersentrum (Gerfie),100000005,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
130,Acvv Lollapot,300072060,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
131,Ad Kids,800035649,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
132,Adalizwa Dcc,200801547,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
133,Adam Masebe,700910011,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
134,Adams College,500305916,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
135,Adams Sp,500100418,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
136,Adamsonsvlei If/S,444412060,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
137,Addington Primary School,500100455,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
138,Addo Primary School,200100009,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
139,Adelaide,200800863,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
140,Adelaide,441207196,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
141,Adelaide Gymnasium,200100012,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
142,Adelaide Primary School,200100013,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
143,Adelaide Primary School,200100014,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
144,Adelaide Tambo School,700133652,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
145,Adeline Meje P/S,444306220,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
146,Adendorp Primary School,200100015,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
